x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,y
333.923,-7.026,279.702,-5.93,279.106,-5.262,279.853,-5.757,279.42,-6.204,280.892,-7.393,280.549,-6.454,280.332,-6.001,279.568,-6.862,279.659,-6.148,385.812,-6.381,355.481,-5.996,354.878,-5.593,355.018,-6.006,354.582,-6.01,356.269,-6.905,355.73,-6.029,354.957,-5.918,354.541,-6.206,355.168,-6.119,659.656,-6.188,635.758,-5.626,633.998,-6.536,635.775,-6.561,634.673,-6.339,635.136,-5.781,635.429,-5.95,636.043,-6.181,632.983,-6.094,634.564,-7.168,385.453,-5.481,355.427,-6.098,354.426,-6.599,355.246,-6.62,354.773,-6.489,355.608,-6.032,355.206,-5.873,355.237,-5.742,353.363,-5.205,354.6,-6.405,5237.76
333.888,-7.015,279.596,-6.036,279.308,-5.171,280.021,-5.676,279.164,-5.967,280.792,-7.2,280.225,-6.456,279.922,-5.774,279.496,-6.889,279.616,-6.139,385.722,-6.389,355.49,-6.026,355.161,-5.548,355.033,-6.069,354.595,-6.005,356.321,-6.847,355.378,-6.046,354.914,-6.002,354.584,-6.247,355.228,-6.048,659.753,-6.164,635.908,-5.746,633.853,-6.631,635.212,-6.571,634.521,-6.518,635.03,-6.073,635.252,-6.34,635.833,-6.308,633.335,-6.11,634.599,-7.199,385.687,-5.49,355.583,-6.118,354.288,-6.522,355.26,-6.74,354.777,-6.5,355.543,-5.92,355.258,-6.094,355.164,-5.825,353.171,-5.408,354.673,-6.387,5329.28
333.711,-6.96,279.496,-6.254,279.019,-4.98,279.794,-5.444,279.144,-5.986,281.142,-7.323,280.538,-6.501,280.032,-5.983,279.687,-6.774,279.916,-6.098,385.378,-6.192,355.574,-6.08,355.015,-5.668,355.2,-6.017,354.617,-5.755,356.213,-6.667,355.873,-6.157,355.023,-5.733,354.42,-6.362,355.357,-6.287,659.867,-6.02,635.934,-5.786,634.083,-6.879,635.431,-6.416,634.591,-6.424,635.204,-6.03,635.191,-5.957,635.749,-6.121,633.042,-6.166,634.513,-7.062,385.388,-5.46,355.666,-6.12,354.607,-6.545,355.185,-6.294,354.485,-6.458,355.455,-5.987,355.314,-6.214,355.032,-5.843,353.131,-5.36,354.738,-6.318,5258.88
333.789,-7.104,279.316,-6.098,278.991,-5.206,279.732,-5.752,279.364,-5.988,281.151,-7.402,280.803,-6.265,280.317,-6.099,279.616,-6.696,279.603,-6.416,385.727,-6.385,355.378,-5.868,355.093,-5.403,354.755,-6.081,354.421,-5.949,356.035,-7.114,355.481,-5.989,354.916,-5.738,354.815,-6.069,355.347,-6.041,659.55,-5.869,635.563,-5.863,633.91,-6.711,635.546,-6.629,634.284,-6.754,635.301,-5.991,635.292,-5.966,635.855,-6.265,632.948,-6.144,634.277,-7.432,385.56,-5.425,355.716,-6.109,354.333,-6.284,355.306,-6.57,354.912,-6.128,355.4,-5.977,355.211,-5.995,354.817,-6.025,353.212,-5.125,354.757,-6.404,5132.16
334.013,-7.049,279.621,-6.074,279.076,-5.318,280.071,-5.898,279.314,-6.053,280.926,-7.071,280.486,-6.375,280.098,-6.041,279.497,-6.783,279.648,-6.096,385.473,-6.161,355.437,-5.814,355.025,-5.74,355.129,-6.224,354.449,-5.888,356.467,-6.769,355.641,-5.936,355.146,-5.653,354.584,-6.226,354.971,-5.771,659.608,-5.783,635.528,-5.696,634.095,-6.886,635.607,-6.608,634.676,-6.494,635.126,-5.974,635.347,-5.965,635.77,-6.425,633.084,-6.095,634.473,-7.447,385.535,-5.427,355.944,-5.961,354.522,-6.521,355.096,-6.651,354.523,-6.385,355.6,-6.135,355.188,-6.069,354.948,-5.719,353.284,-5.328,354.513,-6.227,5075.84
333.915,-7.247,279.694,-6.109,278.932,-4.947,279.919,-5.701,279.306,-5.979,280.751,-7.492,280.484,-6.31,280.055,-5.882,279.36,-6.72,279.951,-6.172,385.977,-6.139,355.698,-6.195,355.213,-5.677,354.861,-6.286,354.294,-5.888,356.218,-6.754,355.672,-6.058,355.087,-5.871,354.582,-6.257,354.974,-6.356,659.887,-6.07,635.637,-5.87,634.202,-6.455,635.475,-6.585,634.463,-6.486,635.235,-6.039,635.213,-6.154,636.108,-6.328,632.912,-6.18,634.306,-6.711,385.572,-5.603,355.605,-5.958,354.511,-6.548,355.123,-6.841,354.562,-6.293,355.491,-5.887,355.265,-6.062,354.963,-5.743,353.149,-5.492,354.744,-6.299,5280
333.966,-6.833,279.459,-6.173,279.018,-5.245,279.626,-5.808,279.148,-6.132,281.127,-7.213,280.351,-6.224,280.264,-5.998,279.519,-6.683,279.959,-6.232,385.585,-6.331,355.217,-6.01,354.98,-5.568,355.193,-6.334,354.736,-5.683,356.268,-6.799,355.749,-6.118,354.877,-6.122,354.258,-6.243,355.086,-5.988,659.824,-5.735,635.73,-5.491,633.932,-6.606,635.358,-6.369,634.696,-6.654,635.106,-5.752,634.992,-5.995,635.784,-6.283,632.935,-6.152,634.547,-7.072,385.356,-5.63,355.731,-6.127,354.476,-6.523,355.178,-6.478,354.768,-6.58,355.556,-5.906,355.284,-6.142,354.906,-6.049,353.137,-5.482,354.927,-6.333,5054.72
333.993,-7.013,279.796,-6.074,279.064,-4.897,279.568,-5.387,279.453,-5.986,280.829,-7.523,280.362,-6.517,280.127,-6.062,279.389,-6.836,279.716,-6.132,385.6,-6.298,355.325,-6.187,355.05,-5.447,355.078,-6.21,354.658,-5.693,356.511,-6.89,355.859,-5.993,354.997,-5.961,354.484,-6.326,355.066,-5.918,659.933,-5.9,635.86,-5.811,633.946,-6.913,635.408,-6.443,634.416,-6.821,635.135,-6.212,635.467,-6.078,635.88,-6.406,633.068,-6.612,634.635,-6.834,385.375,-5.642,355.66,-6.036,354.718,-6.441,355.146,-6.805,354.863,-6.313,355.485,-6.244,355.423,-6.318,355.209,-5.941,353.287,-5.272,354.907,-6.47,5181.44
333.868,-6.842,279.605,-5.794,278.977,-5.193,280.011,-5.763,279.537,-5.934,280.826,-7.224,280.415,-6.356,280.548,-6.031,279.346,-6.858,279.597,-6.251,385.699,-6.322,355.677,-6.045,354.929,-5.333,354.91,-6.083,354.576,-5.749,356.464,-6.742,355.842,-6.065,355.093,-5.932,354.494,-5.893,354.985,-6.026,659.88,-5.874,635.881,-5.901,633.929,-6.856,635.274,-6.476,634.611,-6.732,635.102,-6.018,635.545,-6.263,635.7,-6.085,632.873,-6.292,634.359,-6.946,385.466,-5.583,355.64,-6.262,354.655,-6.554,355.154,-6.552,354.819,-6.351,355.441,-5.852,355.326,-6.222,355.151,-5.97,353.432,-5.155,354.919,-6.279,5167.36
333.577,-7.059,279.665,-6.052,278.983,-5.276,279.946,-5.735,279.113,-6.073,280.996,-7.354,280.544,-6.465,280.187,-5.897,279.387,-6.727,279.688,-6.417,385.505,-6.445,355.764,-5.767,355.212,-5.427,354.943,-6.067,354.454,-6.054,356.469,-7.079,355.507,-6.232,354.932,-5.648,354.599,-6.148,355.053,-5.911,659.664,-5.824,635.7,-5.616,633.875,-6.693,635.684,-6.404,634.505,-6.49,635.115,-6.144,635.378,-6.01,635.876,-6.243,632.891,-6.264,634.3,-7.165,385.283,-5.522,355.44,-6.017,354.346,-6.639,355.387,-6.721,354.719,-6.48,355.693,-6.018,355.434,-5.987,354.944,-5.897,353.34,-5.273,354.567,-6.441,5160.32
