x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,y
334.089,-6.894,279.455,-6.022,278.929,-5.073,279.745,-5.423,279.378,-6.219,281.013,-7.352,280.569,-6.27,280.148,-6.115,279.488,-6.827,279.775,-6.06,385.677,-6.559,355.528,-5.92,354.995,-5.674,355.131,-5.84,354.583,-5.764,356.226,-6.651,355.717,-6.222,354.837,-5.648,354.46,-6.293,355.219,-6.158,660.028,-5.832,635.669,-5.672,633.957,-6.594,635.494,-6.406,634.645,-6.525,635.008,-5.782,635.384,-6.063,635.849,-6.296,633.177,-6.228,634.371,-7.008,385.461,-5.601,355.452,-5.985,354.227,-6.567,355.388,-6.8,354.578,-6.644,355.939,-6.145,355.393,-6.161,354.962,-5.856,353.421,-5.559,354.76,-6.141,5244.8
333.829,-7.01,279.649,-5.941,279.04,-5.128,279.93,-5.883,279.285,-5.92,280.726,-7.277,280.277,-6.206,280.029,-6.057,279.451,-6.634,279.941,-6.077,385.742,-6.24,355.353,-5.99,354.845,-5.264,354.869,-6.27,354.749,-6.03,356.108,-6.889,355.99,-6.016,355.202,-6.017,354.648,-6.241,354.971,-5.962,659.83,-5.907,635.787,-5.663,634.1,-6.999,635.502,-6.448,634.66,-6.77,635.051,-6.1,635.085,-6.036,635.742,-6.312,632.867,-6.218,634.753,-7.128,385.614,-5.679,355.662,-5.997,354.536,-6.825,355.169,-6.483,354.514,-6.401,355.228,-6.118,355.219,-5.874,355.128,-5.76,353.33,-5.516,354.605,-6.403,5040.64
334.386,-6.931,279.594,-6.252,278.985,-5.232,279.979,-5.673,279.226,-6.177,281.051,-7.335,280.439,-6.288,280.159,-6.028,279.8,-6.713,279.825,-6.136,385.691,-6.479,355.451,-6.03,355.259,-5.713,354.803,-5.98,354.479,-5.729,356.24,-6.577,355.65,-6.147,355.184,-5.828,354.593,-6.395,355.078,-5.911,659.934,-6.012,635.994,-5.855,634.045,-6.716,635.739,-6.641,634.745,-6.723,635.041,-6.025,635.148,-6.163,635.896,-6.364,632.924,-6.055,634.517,-7.002,385.121,-5.544,355.852,-5.965,354.502,-6.615,355.122,-6.756,354.808,-6.482,355.64,-5.853,355.286,-6.079,355.153,-5.758,353.155,-5.389,354.675,-6.237,5019.52
333.926,-6.855,279.568,-6.188,279.183,-5.072,279.722,-5.747,279.314,-6.154,280.955,-7.349,280.324,-6.281,279.845,-5.896,279.369,-6.78,279.654,-6.062,385.891,-6.41,355.588,-5.853,354.966,-5.43,354.91,-6.113,354.389,-5.786,356.078,-7.058,355.865,-6.135,355.253,-5.898,354.567,-6.261,355.232,-6.123,659.968,-5.818,635.697,-6.003,634.09,-6.895,635.629,-6.712,634.195,-6.749,635.245,-5.882,635.4,-6.123,636.053,-6.426,633.004,-6.327,634.477,-7.345,385.502,-5.62,355.703,-6.169,354.277,-6.111,355.192,-6.483,354.547,-6.448,355.376,-5.694,355.378,-5.938,354.994,-6.032,353.068,-5.374,354.713,-6.239,5336.32
333.908,-7.03,279.595,-6.291,278.849,-5.111,279.977,-5.701,279.065,-5.921,281.002,-7.3,280.42,-6.149,280.141,-5.967,279.572,-6.66,280.03,-6.104,385.583,-6.274,355.249,-5.912,355.12,-5.612,355.275,-6.387,354.496,-6.006,356.243,-6.774,355.667,-6.022,355.173,-5.778,354.456,-6.49,354.988,-5.816,659.655,-5.836,635.689,-5.746,634.033,-7.046,635.548,-6.744,634.608,-6.409,635.293,-5.919,635.41,-6.247,635.882,-6.211,632.793,-6.299,634.488,-7.144,385.481,-5.435,355.789,-5.861,354.481,-6.672,355.207,-6.653,354.364,-6.196,355.567,-6.257,355.302,-5.983,355.306,-5.518,353.558,-5.252,354.765,-5.904,5265.92
334.165,-7.01,279.703,-6.234,279.054,-5.06,279.836,-5.592,279.354,-6.297,280.699,-7.48,280.623,-6.267,280.158,-6.26,279.371,-6.765,279.721,-6.311,385.761,-6.61,355.373,-5.933,354.802,-5.509,354.776,-5.955,354.535,-5.774,356.324,-6.977,355.87,-6.053,354.867,-5.873,354.568,-6.055,355.204,-5.948,659.885,-6.18,635.834,-5.635,633.988,-6.649,635.69,-6.285,634.528,-6.649,635.199,-6.078,635.399,-6.149,635.663,-6.297,633.046,-6.126,634.455,-7.3,385.18,-5.494,355.488,-5.907,354.447,-6.508,355.064,-6.476,354.848,-6.363,355.751,-5.953,355.263,-6.017,355.256,-6.002,352.912,-5.38,354.563,-6.446,5012.48
333.691,-6.684,279.685,-6,279.01,-5.266,279.912,-5.739,279.416,-5.827,280.685,-7.241,280.166,-6.276,280.248,-6.067,279.431,-6.415,279.784,-6.142,385.495,-6.451,355.45,-6.01,355.109,-5.551,354.997,-5.899,354.505,-5.747,356.208,-6.83,355.655,-6.485,355.346,-5.834,354.257,-6.235,355.165,-6.124,659.712,-5.687,635.873,-5.628,634.227,-6.993,635.366,-6.446,634.292,-6.659,635.021,-5.955,635.406,-6.088,635.838,-6.293,633.028,-6.1,634.461,-7.274,385.404,-5.344,355.7,-5.952,354.28,-6.311,354.982,-6.659,354.494,-6.555,355.541,-5.879,355.28,-6.451,354.983,-5.894,352.962,-5.383,354.622,-6.308,5209.6
333.907,-6.916,279.396,-6.04,278.891,-5.215,279.87,-5.896,279.512,-6.171,280.821,-7.263,280.41,-6.108,280.203,-6.217,279.499,-6.765,279.53,-6.157,385.656,-6.246,355.543,-5.973,355.045,-5.584,354.934,-6.034,354.642,-5.844,356.383,-6.982,355.774,-6.133,355.008,-5.932,354.297,-6.25,355.141,-6.009,659.811,-5.978,635.749,-5.726,633.912,-6.832,635.483,-6.263,634.344,-6.942,635.209,-6.036,635.287,-5.972,635.747,-6.276,633.055,-6.141,634.598,-7.244,385.616,-5.432,355.8,-5.854,354.323,-6.615,355.004,-6.831,354.488,-6.597,355.616,-5.949,354.983,-6.054,354.919,-5.617,353.26,-5.343,354.621,-6.397,5216.64
333.986,-7.176,279.585,-6.194,279.095,-5.204,279.639,-5.857,279.513,-6.009,280.914,-7.603,280.448,-6.291,280.071,-6.022,279.551,-6.693,279.408,-6.446,385.624,-6.428,355.499,-5.803,355.028,-5.623,355.108,-6.184,354.751,-5.938,356.169,-6.869,355.605,-6.122,354.941,-5.737,354.544,-6.242,355.062,-6.082,659.584,-5.925,635.831,-5.792,634.112,-6.67,635.496,-6.643,634.379,-6.397,635.114,-6.002,635.117,-6.08,635.912,-6.367,633.1,-6.185,634.403,-6.934,385.683,-5.35,355.701,-6.078,354.205,-6.534,355.157,-6.786,354.562,-6.654,355.589,-6.259,355.297,-6.612,355.074,-5.729,353.167,-5.363,354.556,-6.113,5258.88
334.046,-7.085,279.537,-6.044,279.273,-5.154,279.716,-5.527,279.283,-5.936,280.686,-7.136,280.34,-6.334,280.394,-5.952,279.821,-6.561,279.9,-6.065,385.724,-6.488,355.858,-5.69,355.141,-5.471,355.026,-6.025,354.645,-5.957,356.199,-6.721,355.75,-6.243,355.109,-5.805,354.453,-6.213,355.097,-5.974,660.039,-5.846,635.722,-5.572,634.097,-6.715,635.384,-6.194,634.61,-6.574,635.024,-6.18,635.223,-6.06,635.897,-6.393,632.992,-6.217,634.314,-7.056,385.461,-5.205,355.796,-6.044,354.274,-6.301,355.409,-6.673,354.711,-6.761,355.521,-5.975,355.424,-6.118,354.982,-5.918,353.045,-5.404,354.721,-6.058,5287.04
