x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,y
334.06,-6.654,279.609,-5.987,279.158,-5.103,279.917,-5.746,279.355,-6.246,280.86,-7.164,280.468,-6.475,280.208,-5.974,279.468,-6.711,279.713,-6.2,385.745,-6.604,355.352,-6.025,354.94,-5.541,355.161,-5.96,354.557,-5.737,356.143,-7.118,355.601,-6.357,355.307,-5.695,354.527,-6.262,355.112,-6.007,659.891,-5.826,635.824,-5.75,633.793,-6.593,635.505,-6.457,634.669,-6.601,634.973,-6.11,635.293,-6.021,635.978,-6.252,633.037,-6.262,634.606,-7.086,385.343,-5.443,355.382,-5.977,354.263,-6.229,355.234,-6.751,354.775,-6.385,355.522,-5.689,355.352,-5.922,354.967,-5.608,353.15,-5.305,354.622,-6.281,5061.76
333.984,-7.058,279.623,-6.097,279.165,-5.318,279.938,-5.639,279.486,-6.157,280.759,-7.507,280.318,-6.333,280.2,-5.927,279.552,-6.614,279.837,-6.313,385.753,-6.404,355.45,-5.961,355.281,-5.485,354.962,-6.251,354.639,-5.962,356.231,-6.815,355.801,-6.119,355.225,-5.905,354.451,-6.413,355.06,-5.892,659.585,-5.848,635.712,-5.79,633.822,-6.626,635.478,-6.257,634.393,-6.496,635.248,-5.938,635.327,-6.26,635.965,-6.022,632.954,-6.36,634.272,-7.369,385.692,-5.464,355.43,-5.818,354.406,-6.637,355.314,-6.608,354.318,-6.498,355.578,-6.001,355.546,-6.054,354.945,-5.971,353.032,-5.432,354.493,-6.235,5089.92
333.829,-7.018,279.469,-6.039,278.959,-5.164,279.766,-5.832,279.221,-5.895,281.059,-7.301,280.351,-6.289,280.259,-6.028,279.501,-6.886,279.821,-6.289,385.502,-6.401,355.459,-5.768,355.064,-5.51,354.763,-6.125,354.474,-5.763,356.324,-6.845,355.675,-6.019,355.117,-5.935,354.347,-6.291,355.036,-5.731,659.712,-5.788,635.679,-5.86,634.081,-6.93,635.624,-6.457,634.356,-6.608,635.12,-5.728,635.295,-6.169,635.754,-6.437,632.703,-6.305,634.317,-7.168,385.434,-5.389,355.608,-6.044,354.554,-6.482,354.916,-6.779,354.524,-6.243,355.571,-5.897,355.146,-6.096,355.01,-6.079,353.179,-5.442,354.485,-6.298,5068.8
333.77,-6.984,279.464,-6.133,278.987,-5.196,279.765,-5.613,279.271,-6.271,280.726,-7.325,280.547,-6.444,280.266,-6.364,279.265,-6.905,279.751,-6.247,385.457,-6.308,355.351,-5.91,355.229,-5.513,355.138,-6.149,354.475,-5.91,356.278,-7.009,355.687,-6.11,355.087,-5.836,354.377,-6.167,354.907,-5.983,659.657,-5.972,635.73,-5.796,634.045,-6.841,635.261,-6.494,634.557,-6.487,635.212,-6.033,635.241,-5.922,635.962,-6.241,633.018,-6.147,634.413,-7.042,385.513,-5.409,355.684,-5.973,354.211,-6.469,354.99,-6.79,354.745,-6.465,355.219,-6.2,355.113,-6.009,355.01,-5.832,353.232,-5.519,354.584,-6.344,4871.68
333.675,-7.001,279.685,-6.027,279.269,-5.274,279.892,-5.753,279.482,-6.088,280.982,-7.045,280.685,-6.328,280.294,-5.996,279.681,-6.725,279.831,-6.209,385.229,-6.434,355.494,-6.073,354.985,-5.564,354.956,-5.97,354.569,-5.683,356.42,-7.048,355.586,-5.995,355.034,-5.826,354.266,-5.962,355.032,-5.902,659.773,-5.811,635.747,-5.699,633.893,-6.733,635.456,-6.543,634.452,-6.427,635.022,-6.048,635.371,-5.994,636.116,-6.085,632.997,-6.153,634.293,-7.084,385.511,-5.511,355.767,-5.883,354.027,-6.725,354.95,-6.561,354.571,-6.426,355.65,-6.018,355.15,-6.283,355.106,-6.021,353.155,-5.319,354.791,-6.47,5139.2
333.924,-6.872,279.42,-5.748,278.97,-5.288,279.957,-5.497,279.123,-6.132,280.696,-7.117,280.389,-6.23,279.916,-6.18,279.446,-6.73,279.688,-6.018,385.567,-6.543,355.362,-5.802,355.132,-5.483,354.935,-5.964,354.694,-5.991,356.292,-6.796,355.465,-5.825,354.581,-5.907,354.345,-6.186,355.113,-5.818,659.628,-5.813,635.858,-5.866,634.103,-6.609,635.592,-6.394,634.754,-6.443,635.105,-5.976,635.382,-6.027,636.096,-6.498,633.135,-6.214,634.566,-7.218,385.418,-5.62,355.466,-5.986,354.564,-6.651,355.261,-6.395,354.729,-6.316,355.348,-5.58,355.273,-6.376,355.054,-5.954,353.076,-5.252,354.601,-6.358,4850.56
333.622,-7.01,279.484,-5.99,278.996,-5.153,279.659,-5.742,279.337,-6.234,280.839,-7.236,280.705,-6.344,280.045,-6.256,279.533,-6.402,279.84,-6.224,385.614,-6.411,355.51,-5.851,354.955,-5.777,355.042,-5.961,354.566,-5.861,356.629,-7.031,355.883,-5.867,355.308,-5.861,354.346,-6.145,355.069,-6.27,659.835,-5.822,635.836,-5.745,634.216,-6.602,635.567,-6.556,634.656,-6.804,635.132,-5.992,635.403,-6.2,635.987,-6.262,632.754,-5.956,634.613,-7.393,385.535,-5.395,355.503,-6.101,354.454,-6.401,355.127,-6.615,354.465,-6.56,355.342,-5.817,354.991,-5.831,354.879,-5.887,353.163,-5.164,354.743,-6.302,5054.72
333.711,-6.721,279.638,-6.074,279.029,-5.141,280.044,-5.645,279.21,-6.099,280.788,-7.277,280.566,-6.412,280.042,-5.893,279.305,-6.7,279.772,-6.33,385.517,-6.272,355.454,-5.925,354.974,-5.551,355.011,-6.2,354.545,-6.079,356.334,-6.873,355.755,-6.025,354.811,-5.91,354.56,-6.177,355.145,-5.91,659.716,-5.937,635.872,-5.764,634.27,-6.656,635.63,-6.45,634.446,-6.587,635.05,-5.995,635.162,-6.016,635.889,-6.113,632.978,-5.953,634.595,-7.148,385.354,-5.554,355.895,-6.118,354.567,-6.304,355.151,-6.572,354.504,-6.282,355.766,-6.014,355.332,-6.023,355.22,-5.944,353.236,-5.409,354.755,-6.338,4963.2
333.71,-6.619,279.445,-5.977,279.136,-5.262,279.997,-5.663,279.442,-6.146,280.834,-7.259,280.511,-6.511,280.157,-6.147,279.41,-6.984,279.675,-6.388,385.801,-6.391,355.411,-5.92,355.041,-5.337,355.125,-6.171,354.696,-6,356.541,-6.671,355.66,-6.181,354.671,-5.714,354.592,-5.94,355.022,-6.096,659.669,-5.928,635.946,-5.844,634.112,-6.662,635.663,-6.52,634.37,-6.43,635.197,-6.145,635.719,-5.985,635.637,-6.366,632.966,-6.217,634.304,-7.152,385.669,-5.394,355.728,-6.47,354.418,-6.307,355.255,-6.445,354.304,-6.304,355.513,-5.971,355.08,-6.001,354.999,-5.751,353.337,-5.237,354.488,-6.219,5033.6
333.831,-6.958,279.639,-6.122,279.127,-5.137,279.808,-5.643,279.017,-6.065,280.948,-7.111,280.346,-6.365,280.089,-6.094,279.675,-6.607,279.708,-6.383,385.569,-6.306,355.578,-5.984,355.119,-5.858,354.932,-6.117,354.791,-5.758,356.123,-6.843,355.741,-6.097,355.025,-5.833,354.535,-6.126,355.23,-6.005,659.841,-6.025,635.795,-5.823,633.993,-6.635,635.531,-6.479,634.514,-6.698,635.083,-5.925,635.258,-6.33,635.818,-6.091,632.911,-5.856,634.255,-7.287,385.489,-5.543,355.574,-5.863,354.268,-6.583,355.179,-6.315,354.636,-6.195,355.48,-6.171,355.248,-6.292,355.038,-5.821,353.282,-5.483,354.878,-6.434,5089.92
