x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,y
334.009,-6.812,279.658,-6.123,278.905,-5.167,279.925,-5.728,279.391,-6.017,280.93,-7.493,280.417,-6.459,280.167,-5.936,279.496,-6.927,279.85,-6.166,385.558,-6.255,355.062,-5.948,355.191,-5.477,354.958,-5.934,354.438,-5.802,356.464,-7.165,355.345,-6.221,354.862,-5.88,354.797,-6.158,355.343,-5.907,659.692,-5.735,635.759,-6.101,633.93,-6.929,635.531,-6.579,634.448,-6.482,635.08,-6.215,635.265,-6.28,635.93,-6.148,633.159,-6.333,634.432,-7.305,385.389,-5.554,355.705,-6.29,354.199,-6.439,355.194,-6.808,354.476,-6.683,355.479,-5.715,355.121,-5.972,355.094,-5.893,353.346,-5.103,354.765,-6.247,5301.12
333.835,-6.995,279.563,-6.236,279.04,-5.274,279.893,-5.576,279.407,-6.106,280.841,-7.421,280.538,-6.374,280.166,-5.849,279.516,-6.666,279.533,-6.278,385.764,-6.53,355.273,-5.825,355.031,-5.444,354.981,-6.008,354.647,-6.032,356.333,-6.915,355.573,-6.144,355.003,-6.045,354.286,-6.148,355.076,-6.209,660.082,-6.053,635.871,-5.882,634.021,-6.798,635.738,-6.525,634.589,-6.69,635.145,-5.809,635.365,-5.943,635.828,-6.179,632.836,-6.386,634.645,-7.367,385.222,-5.425,355.386,-5.863,354.404,-6.496,355.164,-6.607,354.678,-6.391,355.716,-5.739,355.276,-5.998,354.986,-5.854,353.189,-5.289,354.567,-6.068,5251.84
333.963,-6.797,279.747,-6.062,279.056,-5.373,279.967,-5.383,279.353,-5.888,280.732,-7.12,280.44,-6.136,280.027,-6.084,279.465,-6.859,279.98,-6.208,385.543,-6.349,355.592,-6.173,355.116,-5.573,354.936,-6.032,354.691,-5.827,356.297,-6.992,355.77,-6.241,354.913,-5.878,354.521,-6.476,355.073,-6.316,659.77,-5.905,635.951,-5.818,634.212,-6.697,635.501,-6.572,634.542,-6.836,634.982,-6.197,635.385,-6.152,635.864,-6.26,632.852,-6.363,634.48,-7.44,385.256,-5.189,355.625,-5.763,354.311,-6.519,354.981,-6.893,354.319,-6.526,355.61,-6.096,355.227,-6.3,354.825,-6.017,353.422,-5.632,354.64,-6.206,5174.4
333.934,-6.888,279.534,-6.051,278.958,-5.302,279.919,-5.562,279.463,-5.982,281.078,-6.969,280.467,-6.311,280.081,-5.963,279.585,-6.678,279.859,-6.314,385.518,-6.413,355.324,-6.126,354.906,-5.259,354.874,-6.083,354.298,-5.888,356.374,-6.93,355.77,-5.901,355.097,-5.632,354.67,-6.153,355.097,-5.719,659.987,-5.921,635.756,-5.66,634.006,-6.864,635.489,-6.421,634.643,-6.594,635.134,-5.83,635.121,-6.05,635.764,-6.013,633.301,-6.249,634.391,-7.184,385.466,-5.791,355.483,-5.985,354.386,-6.616,355.222,-6.508,354.526,-6.583,355.35,-5.926,355.173,-6.131,355.051,-6.05,353.141,-5.379,354.886,-6.209,5209.6
333.728,-6.925,279.61,-6.091,279.07,-5.343,279.972,-5.539,279.122,-6.145,280.714,-7.399,280.446,-6.292,280.153,-6.141,279.629,-6.717,279.945,-6.173,385.693,-6.449,355.226,-6.076,354.867,-5.204,355.222,-6.086,354.707,-5.762,356.273,-6.697,355.792,-6.309,355.012,-5.496,354.233,-6.249,355.029,-6.036,659.518,-5.852,635.794,-5.811,634.291,-6.697,635.544,-6.479,634.502,-6.342,635.144,-5.721,635.114,-5.966,635.807,-6.282,632.916,-6.211,634.372,-7.241,385.43,-5.469,355.562,-5.998,354.526,-6.729,355.354,-6.554,354.677,-6.506,355.355,-5.825,355.266,-5.953,354.904,-5.638,353.251,-5.345,354.716,-6.144,5167.36
333.952,-6.873,279.439,-6.021,278.945,-5.53,279.838,-5.702,279.391,-6.033,281.021,-7.151,280.426,-6.202,280.069,-6.011,279.491,-6.696,279.485,-6.31,385.419,-6.487,355.47,-5.963,354.954,-5.574,355.088,-5.742,354.659,-5.633,356.217,-6.865,355.399,-6.203,354.929,-5.784,354.66,-6.453,355.081,-6.251,659.832,-6.08,635.739,-5.732,634.114,-6.704,635.524,-6.44,634.532,-6.603,634.972,-5.784,635.457,-6.175,636.035,-6.231,633.142,-6.541,634.452,-7.139,385.262,-5.407,355.881,-5.985,354.259,-6.564,355.479,-6.52,354.506,-6.378,355.399,-6.252,355.196,-6.012,355.146,-5.829,353.577,-5.23,354.464,-6.161,5427.84
333.758,-6.931,279.639,-5.865,278.946,-4.998,279.774,-5.752,279.427,-6.197,281.031,-7.45,280.355,-6.471,280.211,-6.079,279.649,-6.687,279.909,-6.417,385.773,-6.568,355.549,-5.896,355.078,-5.537,355.007,-6.153,354.583,-6.18,356.504,-6.771,355.682,-6.076,355.185,-5.696,354.626,-6.278,355.397,-6.099,659.976,-5.741,635.847,-5.934,633.924,-6.71,635.561,-6.513,634.493,-6.812,635.227,-5.744,635.274,-5.857,636.192,-6.536,632.853,-6.095,634.475,-7.105,385.562,-5.482,355.39,-6.14,354.21,-6.628,355.129,-6.508,354.502,-6.276,355.789,-5.987,355.415,-5.974,355.019,-5.867,353.357,-5.316,354.692,-6.305,5068.8
333.923,-7.073,279.629,-6.008,278.963,-5.087,280.185,-5.568,279.285,-6.195,280.945,-7.196,280.312,-6.565,280.065,-6.339,279.63,-6.828,279.863,-6.221,385.444,-6.373,355.287,-6.053,354.821,-5.519,355.003,-6.288,354.753,-5.986,356.169,-7.011,356.018,-6.015,354.845,-5.987,354.277,-6.32,355.19,-6.103,659.82,-5.723,635.867,-5.6,633.973,-6.694,635.508,-6.545,634.51,-6.683,635.063,-5.771,635.37,-6.094,635.812,-6.043,632.869,-6.009,634.487,-7.168,385.45,-5.39,355.826,-6.007,354.355,-6.839,355.193,-6.652,354.528,-6.43,355.37,-5.998,355.087,-6.049,354.808,-5.864,353.095,-5.442,354.825,-6.246,5202.56
333.882,-7.027,279.374,-6.163,279.066,-5.199,279.654,-5.701,279.176,-6.009,280.743,-7.26,280.567,-6.498,280.164,-6.146,279.606,-6.809,279.82,-6.272,385.602,-6.513,355.523,-5.824,355.072,-5.426,354.933,-6.177,354.615,-5.723,356.48,-6.92,355.745,-6.266,355.301,-5.686,354.441,-6.265,355.245,-5.847,659.945,-5.905,635.763,-6.078,633.896,-6.827,635.543,-6.589,634.727,-6.744,635.061,-5.918,635.144,-6.186,635.795,-6.306,632.778,-6.296,634.415,-7.137,385.3,-5.507,355.641,-6.071,354.4,-6.658,355.199,-6.461,354.542,-6.312,355.264,-5.997,355.179,-5.936,355.081,-6.084,353.139,-5.204,354.877,-6.247,5456
333.914,-6.791,279.583,-6.198,278.874,-5.106,279.902,-5.425,279.24,-5.808,280.832,-6.944,280.447,-6.393,280.019,-5.976,279.593,-6.776,279.515,-6.488,385.884,-6.329,355.748,-6.003,354.867,-5.555,355.037,-6.1,354.462,-6.018,356.239,-7.148,355.829,-6.022,355.179,-5.642,354.122,-6.081,355.202,-6.037,659.898,-5.657,635.874,-5.67,634.068,-6.906,635.716,-6.466,634.378,-6.473,635.166,-5.609,635.39,-6.304,635.849,-6.301,633.304,-6.22,634.631,-7.238,385.597,-5.273,355.688,-5.77,354.427,-6.29,355.129,-6.7,354.741,-6.637,355.533,-5.924,355.356,-6.239,355.006,-5.843,352.977,-5.413,354.704,-6.406,5181.44
