x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,y
333.63,-6.839,279.384,-6.2,279.231,-5.071,279.81,-5.681,279.297,-6.132,280.949,-7.36,280.267,-6.425,280.039,-6.129,279.494,-6.671,279.764,-6.185,385.871,-6.337,355.61,-6.018,355.083,-5.321,354.782,-5.865,354.402,-5.828,356.281,-6.994,355.737,-6.224,355.103,-5.74,354.493,-6.188,354.871,-5.9,659.774,-5.839,635.901,-5.869,634.153,-6.646,635.617,-6.561,634.555,-6.844,634.939,-5.807,635.477,-5.961,635.863,-6.249,633.093,-6.402,634.71,-7.382,385.579,-5.44,355.762,-6.074,354.253,-6.549,355.114,-6.616,354.642,-6.415,355.444,-6.206,355.442,-5.935,355.062,-5.953,353.235,-5.146,354.934,-6.431,5174.4
333.811,-7.022,279.696,-5.968,279.033,-5.199,279.709,-5.503,279.42,-6.327,281.012,-7.444,280.224,-6.374,279.96,-6.157,279.527,-6.551,279.908,-6.242,385.721,-6.422,355.431,-6.128,355.266,-5.626,354.949,-6.072,354.709,-5.857,356.361,-6.926,355.739,-6.262,355.042,-5.731,354.638,-6.15,355.194,-6.071,659.96,-6.051,635.753,-5.412,634.19,-6.837,635.513,-6.433,634.454,-6.633,635.065,-5.893,635.31,-6.165,636,-6.124,633.14,-6.12,634.394,-6.915,385.64,-5.623,355.575,-5.728,354.132,-6.533,355.079,-6.747,354.406,-6.309,355.511,-6.013,355.188,-6.064,354.827,-5.832,353.182,-5.332,354.743,-6.479,5195.52
333.851,-7.156,279.636,-5.817,279.12,-4.834,280.237,-5.92,279.44,-6.215,280.754,-7.147,280.391,-6.417,280.296,-6.108,279.558,-6.678,279.642,-6.366,385.623,-6.381,355.47,-6.117,355.158,-5.626,354.943,-6.151,354.723,-5.637,356.399,-6.789,355.86,-6.009,355.113,-5.783,354.687,-6.4,355.012,-6.103,659.792,-5.796,635.955,-5.466,633.88,-6.755,635.61,-6.598,634.495,-6.983,634.854,-5.939,635.409,-6.226,635.788,-6.248,633.042,-6.128,634.554,-7.288,385.688,-5.559,355.746,-6.147,354.292,-6.723,355.271,-6.603,354.636,-6.463,355.517,-5.858,355.16,-6.053,355.102,-5.861,353.162,-5.381,354.777,-6.212,5075.84
333.902,-7.082,279.564,-6.205,279.031,-5.224,279.843,-5.586,279.367,-6.268,280.792,-7.139,280.451,-6.382,280.11,-6.176,279.416,-6.653,279.588,-6.133,385.442,-6.538,355.455,-6.002,354.873,-5.474,355.262,-6.196,354.57,-5.797,356.29,-7.211,355.678,-6.275,355.177,-6.014,354.382,-6.217,354.982,-6.005,659.855,-6.031,635.829,-5.812,634.297,-6.506,635.485,-6.383,634.417,-6.734,635.114,-5.912,635.202,-5.93,635.838,-6.518,632.703,-6.047,634.477,-6.792,385.536,-5.593,355.539,-5.751,354.258,-6.501,355.31,-6.559,354.337,-6.346,355.706,-6.206,355.234,-5.994,354.814,-5.792,353.205,-5.355,354.954,-6.359,5258.88
333.909,-7.103,279.619,-5.97,279.102,-5.016,280.102,-5.602,279.281,-5.916,280.6,-6.932,280.431,-6.329,280.243,-6.183,279.317,-6.746,279.826,-6.081,385.508,-6.351,355.436,-5.796,355.021,-5.538,354.761,-6.075,354.543,-5.839,356.322,-6.825,355.754,-5.855,355.05,-5.789,354.34,-6.147,354.957,-6.082,660.015,-6,635.906,-5.64,634.129,-6.522,635.724,-6.52,634.446,-6.598,635.107,-5.81,635.507,-5.972,635.905,-6.162,633.005,-6.149,634.562,-7.116,385.444,-5.507,355.829,-5.801,354.35,-6.62,355.223,-6.615,354.525,-6.561,355.38,-6.17,355.347,-6.018,355.05,-6.081,353.225,-5.383,354.894,-6.212,5118.08
333.997,-7.182,279.646,-6.17,279.06,-5.075,279.463,-5.617,279.096,-6.02,280.88,-7.06,280.654,-6.436,280.097,-5.811,279.306,-6.882,279.683,-6.034,385.634,-6.505,355.364,-5.88,355.074,-5.699,355.072,-6.167,354.624,-5.921,356.519,-6.836,355.916,-6.208,355.098,-5.572,354.461,-6.134,355.233,-6.163,659.836,-6.048,635.803,-5.702,634.147,-6.681,635.673,-6.638,634.418,-6.64,635.233,-6.009,635.341,-5.902,635.626,-6.268,633.089,-5.993,634.371,-7.346,385.598,-5.615,355.688,-6.029,354.569,-6.539,354.901,-6.64,354.661,-6.555,355.862,-6.021,355.141,-6.245,354.965,-5.68,353.119,-5.253,354.952,-6.154,5301.12
333.71,-6.797,279.543,-6.245,279.292,-5.281,279.904,-5.629,279.329,-6.159,280.993,-7.125,280.533,-6.18,280.036,-5.908,279.476,-6.681,279.93,-6.153,385.845,-6.467,355.627,-6.077,354.837,-5.396,355.03,-5.921,354.55,-5.697,355.946,-6.892,355.702,-6.186,354.837,-5.919,354.369,-6.042,355.057,-6.074,659.975,-5.874,636.073,-5.77,633.845,-6.461,635.685,-6.593,634.693,-6.786,635.045,-6.074,635.369,-6.092,635.716,-6.151,632.872,-6.114,634.258,-6.988,385.597,-5.236,355.69,-6.196,354.292,-6.679,354.892,-6.651,354.959,-6.294,355.505,-5.966,355.317,-6.253,354.744,-5.82,353.154,-5.398,354.584,-6.249,5223.68
333.89,-6.974,279.327,-6.141,279.082,-5.218,279.663,-5.7,279.628,-6.39,281.216,-7.349,280.45,-6.558,280.017,-6.186,279.565,-6.577,279.637,-6.179,385.672,-6.513,355.373,-6.125,354.912,-5.307,355.101,-6.157,354.591,-5.881,356.408,-6.968,355.691,-5.947,355.14,-5.64,354.699,-5.918,355.364,-5.792,659.742,-5.801,635.995,-5.676,633.901,-6.521,635.677,-6.404,634.448,-6.459,635.128,-5.876,635.493,-5.984,636.002,-6.278,633.119,-6.253,634.145,-7.107,385.564,-5.418,355.869,-6.1,354.314,-6.408,355.318,-6.543,354.773,-6.494,355.57,-6.007,355.1,-6.076,354.886,-5.919,352.963,-5.479,354.971,-6.408,4970.24
333.9,-6.967,279.422,-6.025,278.838,-5.144,279.752,-5.43,279.227,-6.161,280.892,-7.246,280.496,-6.443,280.139,-6.138,279.51,-6.79,279.597,-6.702,385.58,-6.334,355.332,-6.146,355.238,-5.492,355.145,-6.275,354.541,-5.921,356.372,-7.078,355.614,-6.207,355.086,-5.644,354.495,-6.018,354.907,-6.16,659.788,-5.98,635.741,-5.913,634.197,-6.546,635.56,-6.495,634.199,-6.555,635.052,-6.083,635.418,-6.271,635.72,-6.339,633.134,-6.159,634.622,-7.047,385.551,-5.323,355.349,-5.995,354.333,-6.384,355.362,-6.634,354.564,-6.313,355.445,-6.102,355.222,-5.983,354.984,-6.011,353.095,-5.144,354.823,-6.298,5202.56
333.733,-6.959,279.61,-6.109,279.13,-5.192,280.089,-5.542,279.421,-6.012,280.713,-7.231,280.164,-6.035,280.249,-6.062,279.529,-6.812,279.83,-6.255,385.653,-6.233,355.295,-6.006,354.956,-5.44,355.063,-6.019,354.681,-5.845,356.114,-6.793,355.636,-6.015,354.892,-5.817,354.349,-6.047,355.07,-5.959,659.759,-5.975,635.775,-5.793,634.174,-6.587,635.529,-6.45,634.663,-6.91,634.976,-5.718,635.262,-6.024,635.652,-6.401,632.821,-6.259,634.376,-7.183,385.633,-5.604,355.746,-5.912,354.342,-6.444,355.021,-6.622,354.723,-6.465,355.623,-5.802,355.016,-5.906,355.013,-5.782,353.452,-5.478,354.346,-6.267,5237.76
