x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,y
334.13,-6.955,279.464,-5.889,279.21,-5.192,280.021,-5.607,279.415,-6.017,281.192,-7.247,280.528,-6.315,279.931,-6.031,279.536,-7.021,279.821,-6.085,385.61,-6.347,355.244,-5.859,355.288,-5.559,355.118,-6.153,354.679,-5.995,356.363,-6.911,355.504,-5.716,355.265,-5.743,354.571,-6.157,354.884,-6.209,659.769,-5.822,635.78,-5.641,634.109,-6.654,635.255,-6.494,634.608,-6.519,635.034,-6.11,635.308,-5.899,635.828,-6.257,633.006,-6.179,634.494,-7.133,385.45,-5.356,355.596,-5.96,354.489,-6.693,355.052,-6.439,354.613,-6.478,355.245,-5.865,355.279,-6.204,355.067,-5.801,353.346,-5.452,354.659,-6.449,5012.48
333.842,-6.99,279.539,-5.927,279.048,-5.331,279.975,-5.774,279.353,-5.94,280.93,-7.24,280.411,-6.556,280.143,-6.167,279.633,-6.693,279.698,-5.993,385.474,-6.424,355.508,-5.913,355.026,-5.745,354.887,-6.265,354.516,-5.838,356.129,-7.216,355.642,-6.009,355.001,-5.845,354.323,-5.949,354.777,-6.118,659.92,-5.972,635.739,-5.846,633.915,-6.836,635.54,-6.601,634.191,-6.601,634.887,-6.151,635.473,-6.225,636.174,-6.098,633.04,-6.177,634.6,-7.446,385.476,-5.49,355.759,-5.817,354.433,-6.582,355.287,-6.629,355.013,-6.52,355.432,-5.658,355.249,-6.243,354.916,-6.01,353.345,-5.349,354.518,-6.308,5075.84
334.095,-7.393,279.586,-6.265,278.854,-5.148,280.053,-5.766,279.515,-6.012,280.863,-6.96,280.302,-6.258,280.056,-6.003,279.474,-6.6,279.77,-6.052,385.658,-6.283,355.674,-5.847,355.071,-5.596,355.031,-6.02,354.349,-6.145,356.395,-6.958,355.61,-6.243,355.104,-5.55,354.579,-5.932,355.003,-5.84,659.889,-6.095,635.672,-5.796,634.208,-6.676,635.632,-6.347,634.554,-6.705,635.177,-5.882,635.226,-6.13,635.681,-6.366,633.202,-5.963,634.44,-7.166,385.59,-5.538,356.081,-6,354.325,-6.553,354.977,-6.818,354.588,-6.428,355.533,-5.94,355.144,-6.228,355.184,-5.882,353.145,-5.452,354.534,-6.295,5096.96
333.919,-6.916,279.492,-6.175,279.244,-4.979,279.819,-5.813,279.312,-5.999,280.728,-7.257,280.312,-6.366,280.157,-6.216,279.392,-6.666,279.81,-6.264,385.649,-6.483,355.428,-6.049,354.945,-5.506,354.977,-6.214,354.497,-5.909,356.222,-6.987,355.772,-6.04,355.311,-5.703,354.58,-6.219,354.908,-5.695,660.105,-6.356,635.859,-5.732,634.236,-6.685,635.529,-6.509,634.551,-6.791,635.003,-6.145,635.108,-5.819,636.107,-6.226,633.139,-5.986,634.436,-7.192,385.256,-5.354,355.728,-6.146,354.341,-6.488,355.223,-6.485,354.716,-6.484,355.529,-5.942,355.105,-6.284,355.109,-5.748,353.407,-5.619,354.615,-6.063,5104
334.059,-6.795,279.565,-5.949,278.805,-5.166,279.769,-5.461,279.14,-6.188,280.823,-7.38,280.35,-6.404,280.235,-6.069,279.368,-6.694,279.789,-6.362,385.485,-6.378,355.451,-6.064,354.967,-5.254,355.026,-6.304,354.479,-5.944,356.24,-7.214,355.67,-6.051,354.752,-5.901,354.243,-6.084,355.11,-6.234,659.816,-5.794,635.828,-5.589,633.925,-6.613,635.314,-6.54,634.588,-6.631,634.96,-6.086,635.322,-5.983,635.737,-6.143,633.329,-5.947,634.464,-7.028,385.459,-5.28,355.665,-5.966,354.571,-6.873,355.162,-6.486,354.55,-6.745,355.661,-5.987,355.105,-5.983,354.883,-5.678,353.025,-5.278,354.653,-6.517,5181.44
333.785,-7.054,279.39,-6.357,278.903,-4.992,279.854,-5.617,279.442,-6.052,280.929,-7.219,280.573,-6.27,280.349,-6.171,279.485,-6.701,279.744,-6.248,385.48,-6.401,355.162,-5.901,355.109,-5.193,355.089,-6.155,354.577,-5.783,356.314,-6.994,355.756,-6.144,355.074,-6.055,354.146,-6.216,355.075,-5.917,659.776,-5.748,635.796,-5.405,634.218,-6.701,635.39,-6.531,634.662,-6.679,635.044,-6.009,635.426,-6.131,635.895,-6.407,633.209,-6.065,634.652,-6.956,385.468,-5.456,355.767,-6.056,354.461,-6.611,355.221,-6.354,354.65,-6.503,355.552,-6.015,355.172,-6.076,355.067,-5.806,353.094,-5.216,354.805,-6.382,5167.36
333.826,-6.991,279.426,-5.979,278.859,-5.046,279.832,-5.638,279.124,-5.947,280.826,-7.307,280.404,-6.43,280.128,-5.894,279.488,-6.898,279.866,-6.084,385.317,-6.416,355.418,-6.016,354.886,-5.66,354.929,-5.976,354.569,-5.777,356.522,-6.929,355.851,-6.16,354.834,-5.774,354.175,-6.116,355.266,-6.025,659.665,-6.057,635.62,-5.72,633.861,-6.8,635.508,-6.619,634.558,-6.596,635.264,-5.876,635.103,-5.967,635.643,-5.98,632.989,-6.296,634.609,-7.172,385.326,-5.448,355.636,-5.868,354.27,-6.518,355.104,-6.551,354.604,-6.218,355.606,-5.958,355.405,-6.176,355.191,-5.986,353.253,-5.295,354.914,-6.273,5181.44
333.791,-6.974,279.698,-6.136,279.012,-5.073,279.809,-5.668,279.275,-6.123,280.892,-7.087,280.55,-6.323,280.419,-5.824,279.563,-6.53,279.585,-5.985,385.604,-6.461,355.182,-6.025,355.188,-5.768,354.956,-5.988,354.724,-5.772,356.314,-6.952,355.687,-5.92,354.721,-5.738,354.465,-6.53,355.14,-5.817,659.792,-5.934,635.769,-5.859,633.885,-6.604,635.326,-6.468,634.567,-6.3,635.082,-5.998,635.361,-6.06,635.806,-6.351,633.03,-6.106,634.458,-7.049,385.163,-5.435,355.776,-5.902,354.353,-6.56,355.055,-6.843,354.501,-6.63,355.442,-6.191,355.128,-6.125,354.938,-5.905,353.177,-5.371,354.701,-6.211,4920.96
333.943,-6.884,279.706,-6.024,279.118,-5.312,279.876,-5.802,279.177,-6.35,280.931,-6.987,280.582,-6.416,279.823,-6.094,279.579,-6.778,279.948,-6.245,385.625,-6.415,355.497,-5.867,354.825,-5.511,354.984,-6.143,354.66,-5.996,356.325,-6.716,355.72,-5.982,354.941,-5.562,354.616,-6.112,355.328,-6.218,659.556,-5.956,635.728,-5.758,634.291,-6.582,635.339,-6.38,634.672,-6.592,635.212,-5.829,635.482,-5.977,635.737,-6.116,633.154,-6.17,634.597,-7.239,385.782,-5.551,355.733,-5.937,354.76,-6.416,355.303,-6.901,354.576,-6.483,355.428,-5.915,355.116,-6.254,355.511,-5.615,353.197,-5.323,354.944,-6.366,5096.96
