x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,y
333.676,-6.839,279.478,-6.179,278.973,-5.183,279.854,-5.589,279.473,-5.92,280.862,-7.544,280.378,-6.181,280.179,-5.982,279.457,-6.775,279.932,-6.307,385.689,-6.463,355.481,-5.719,354.88,-5.404,355.081,-5.819,354.875,-5.913,355.888,-7.074,355.626,-6.217,355.098,-5.773,354.527,-6.155,355.123,-5.698,659.637,-5.862,635.629,-6.024,633.969,-6.566,635.21,-6.302,634.561,-6.606,635.215,-5.972,635.409,-5.841,635.759,-6.303,633.139,-5.985,634.29,-7.123,385.386,-5.723,355.565,-6.174,354.227,-6.397,355.157,-6.749,354.788,-6.173,355.462,-5.86,355.261,-6.135,355.303,-5.894,353.294,-5.519,354.611,-6.404,4984.32
333.827,-7.153,279.498,-6.124,278.93,-5.266,279.986,-5.52,279.482,-6.033,280.833,-7.505,280.432,-6.297,280.035,-5.803,279.376,-6.788,279.789,-6.191,385.62,-6.355,355.411,-5.903,354.998,-5.385,354.912,-6.085,354.599,-5.556,356.228,-6.834,355.627,-6,354.789,-5.722,354.285,-6.378,355.089,-5.923,659.828,-6.148,635.88,-5.551,633.884,-6.697,635.776,-6.826,634.611,-6.533,634.874,-6.05,635.249,-6.136,635.877,-6.218,632.729,-6.157,634.452,-6.998,385.526,-5.523,355.665,-6.042,354.278,-6.368,355.112,-6.656,354.764,-6.344,355.4,-6.065,355.367,-6.226,355.208,-5.859,352.942,-5.212,354.689,-6.352,5125.12
333.83,-6.968,279.613,-5.892,279.137,-5.09,279.99,-5.496,279.534,-6.056,280.843,-7.519,280.465,-6.268,280.104,-6.023,279.521,-6.642,279.727,-6.217,385.624,-6.447,355.48,-6.153,355.027,-5.46,355.013,-6.095,354.655,-5.755,356.482,-6.663,355.711,-6.311,355.111,-5.853,354.647,-6.137,355.261,-6.122,659.715,-5.889,635.853,-5.553,633.943,-6.91,635.694,-6.48,634.673,-6.767,635.087,-6.163,635.383,-6.235,635.83,-6.319,632.965,-6.123,634.458,-7.021,384.97,-5.576,355.569,-5.847,354.465,-6.466,355.109,-6.497,354.729,-6.199,355.33,-5.705,355.224,-6.326,355.006,-5.931,353.089,-5.283,354.462,-6.452,5146.24
334.121,-7.067,279.415,-6.265,278.921,-5.127,279.87,-5.652,279.597,-6.193,280.832,-7.352,280.327,-6.295,279.977,-5.868,279.587,-6.375,279.635,-6.161,385.679,-6.555,355.631,-6.093,354.856,-5.468,355.271,-6.379,354.581,-6.173,356.249,-7.072,355.794,-6.247,354.861,-5.948,354.437,-6.314,355.292,-5.953,659.859,-5.804,635.673,-5.741,634.281,-6.581,635.746,-6.424,634.682,-6.465,635.13,-5.957,635.705,-5.941,636.124,-6.141,632.977,-6.124,634.222,-7.089,385.379,-5.603,355.729,-6.271,354.43,-6.693,355.04,-6.497,354.706,-6.373,355.477,-5.777,355.148,-6.274,354.965,-5.966,353.288,-5.271,354.866,-6.255,5040.64
333.85,-7.002,279.61,-5.869,278.82,-5.095,280.006,-5.474,279.498,-6.312,281.129,-7.352,280.386,-6.37,280.21,-6.136,279.644,-6.521,279.75,-6.144,385.482,-6.145,355.503,-5.926,355.077,-5.437,354.877,-6.002,354.66,-5.83,356.112,-6.751,355.663,-5.81,354.777,-5.76,354.443,-6.037,355.185,-6.196,659.761,-6.094,635.772,-5.816,633.948,-6.571,635.561,-6.495,634.571,-6.884,635.216,-5.998,635.598,-6.297,635.832,-6.438,632.841,-6.068,634.389,-7.253,385.529,-5.499,355.449,-5.927,354.374,-6.661,354.923,-6.811,354.493,-6.397,355.606,-5.739,355.631,-5.985,355.041,-6.127,353.14,-5.579,354.691,-6.351,5265.92
333.85,-6.947,279.659,-5.991,278.71,-5.434,279.832,-5.701,279.216,-5.988,280.769,-7.171,280.465,-6.437,280.174,-6.095,279.755,-6.555,279.771,-6.154,385.585,-6.377,355.524,-6.081,355.144,-5.275,354.837,-6.035,354.608,-5.977,356.229,-7.024,355.564,-6.291,354.932,-5.866,354.459,-6.191,355.383,-5.897,659.837,-5.856,635.723,-5.739,634.006,-6.658,635.551,-6.358,634.663,-6.311,634.91,-6.029,635.258,-6.02,635.589,-6.148,632.895,-6.134,634.602,-7.385,385.299,-5.433,355.647,-6.085,354.2,-6.515,355.137,-6.404,354.754,-6.506,355.365,-5.961,355.128,-5.979,355.073,-5.837,353.231,-5.023,354.735,-6.182,5181.44
333.922,-7.052,279.704,-5.967,279.263,-5.124,280.067,-5.67,279.003,-6.15,280.887,-7.225,280.676,-6.37,280.19,-6.101,279.273,-6.528,279.929,-6.095,385.633,-6.435,355.434,-5.877,355.12,-5.76,355.015,-6.142,354.729,-6.037,356.572,-6.648,355.684,-6.034,354.98,-5.617,354.427,-6.205,355.133,-5.971,659.813,-5.931,635.806,-5.944,634.088,-6.792,635.657,-6.378,634.501,-6.51,635.039,-5.83,635.223,-6.212,635.758,-6.333,632.971,-6.278,634.332,-7.124,385.272,-5.767,355.644,-6.091,354.367,-6.502,355.33,-6.419,354.373,-6.13,355.66,-6.16,355.187,-6.103,355.221,-5.866,353.219,-5.416,354.625,-6.142,5153.28
333.733,-6.726,279.563,-5.838,279.06,-5.259,279.844,-5.652,279.484,-5.892,281.165,-7.219,280.307,-6.349,280.239,-6.143,279.835,-6.652,279.928,-6.084,385.388,-6.763,355.329,-6.002,354.982,-5.648,355.09,-6.021,354.469,-5.882,356.298,-6.566,355.702,-6.013,354.893,-5.87,354.336,-6.073,355.07,-6.023,659.676,-6.095,635.771,-5.624,633.894,-6.71,635.567,-6.433,634.376,-6.669,635.172,-6.041,635.599,-6.114,636.127,-6.413,633.049,-6.009,634.119,-7.151,385.439,-5.389,355.606,-5.87,354.392,-6.758,355.228,-6.511,354.63,-6.399,355.6,-5.922,355.292,-5.641,354.993,-5.647,353.249,-5.357,354.88,-6.457,5223.68
333.923,-7.035,279.717,-5.965,278.698,-5.38,279.688,-5.704,279.344,-6.224,280.632,-7.253,280.341,-6.386,280.203,-5.79,279.385,-6.575,279.598,-6.055,385.608,-6.424,355.432,-5.915,354.98,-5.352,354.94,-5.906,354.594,-5.897,356.306,-6.757,355.776,-5.928,354.778,-5.869,354.508,-6.116,355.166,-6.035,660.229,-5.917,636.014,-5.456,633.983,-6.695,635.541,-6.548,634.581,-6.561,635.054,-6.082,635.449,-6.142,635.841,-6.31,632.95,-5.858,634.491,-7.24,385.678,-5.785,355.698,-6.183,354.5,-6.167,355.447,-6.572,354.763,-6.515,355.303,-5.881,354.958,-6.181,355.082,-5.973,353.423,-5.447,354.802,-6.257,5047.68
