x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,y
333.703,-6.813,279.582,-6.128,278.85,-5.125,279.806,-5.74,279.419,-6.046,281.015,-7.247,280.525,-6.448,280.124,-5.937,279.303,-6.699,279.782,-6,385.65,-6.331,355.111,-5.962,355.121,-5.427,355.148,-6.273,354.43,-6.01,356.397,-6.761,355.543,-6.32,355.093,-5.565,354.299,-6.283,354.981,-5.961,659.992,-5.978,635.812,-5.855,634.081,-6.709,635.583,-6.629,634.447,-6.401,635.144,-6.046,635.386,-6.18,635.955,-6.415,633.281,-5.902,634.488,-7.107,385.437,-5.311,355.484,-5.875,354.08,-6.512,355.199,-6.48,354.612,-6.307,355.715,-5.861,355.278,-6.011,355.01,-5.801,353.28,-5.384,354.725,-6.153,5350.4
333.838,-7.04,279.308,-6.075,278.867,-5.371,279.776,-5.897,279.405,-6.323,281.058,-7.303,280.449,-6.508,280.163,-5.982,279.789,-6.622,279.679,-6.123,385.68,-6.356,355.739,-5.937,355.101,-5.407,355.175,-6.085,354.427,-5.743,356.416,-6.753,355.796,-6.153,355.178,-5.731,354.418,-6.13,355.181,-6.144,659.812,-6.244,635.742,-5.669,634.093,-6.853,635.496,-6.601,634.603,-6.494,635.132,-5.844,635.293,-6.111,635.989,-6.246,632.864,-5.94,634.519,-7.042,385.534,-5.55,355.701,-5.911,354.519,-6.634,355.229,-6.617,354.516,-6.554,355.302,-6.128,355.081,-6.191,355.067,-5.995,353.329,-5.345,354.551,-6.129,5258.88
334.018,-7.034,279.706,-6.084,278.924,-5.033,279.862,-5.804,279.305,-5.898,280.867,-7.576,280.326,-6.5,280.027,-6.13,279.402,-6.682,279.676,-6.095,385.406,-6.446,355.417,-6.03,355.168,-5.526,354.892,-6.21,354.729,-5.891,356.297,-7.109,355.866,-6.218,354.919,-5.843,354.402,-6.197,355.177,-6.012,659.639,-5.907,635.472,-5.771,633.973,-6.678,635.454,-6.349,634.652,-6.49,635.08,-5.839,635.558,-6.159,635.977,-6.382,632.853,-6.218,634.733,-7.066,385.479,-5.555,355.685,-5.961,354.232,-6.747,355.247,-6.7,354.735,-6.528,355.514,-6.308,355.187,-5.94,355.185,-5.894,353.049,-4.997,354.666,-6.042,5096.96
334.121,-7.038,279.512,-6.317,279.013,-4.981,279.95,-5.453,279.248,-6.196,280.912,-7.015,280.393,-6.392,280.086,-6.119,279.423,-6.65,279.701,-6.09,385.778,-6.315,355.535,-5.882,355.145,-5.568,355.156,-6.105,354.332,-5.735,356.204,-6.758,355.532,-6.132,354.824,-5.762,354.156,-6.031,355.03,-5.91,659.51,-5.86,635.57,-5.688,634.03,-6.463,635.26,-6.422,634.677,-6.554,635.035,-6.193,635.414,-6.11,635.921,-6.151,633.12,-6.153,634.472,-7.125,385.459,-5.46,355.439,-6.055,354.338,-6.449,355.372,-6.818,354.778,-6.351,355.487,-5.913,355.627,-5.864,355.153,-5.995,353.057,-5.158,354.506,-6.39,5096.96
333.966,-6.994,279.579,-6.145,279.125,-5.036,280.003,-5.517,279.523,-6.038,280.779,-7.25,280.632,-6.387,280.025,-6.123,279.401,-6.903,279.731,-6.1,385.502,-6.465,355.527,-5.85,355.115,-5.31,355.09,-5.889,354.614,-6.089,356.054,-6.936,355.858,-6.214,354.917,-5.781,354.338,-6.327,355.083,-5.901,659.777,-5.888,635.681,-5.827,633.833,-6.555,635.482,-6.471,634.706,-6.529,635.38,-5.921,635.248,-6.105,635.975,-6.221,633.208,-6.073,634.498,-7.103,385.61,-5.362,355.377,-6.134,354.485,-6.551,354.869,-6.602,354.431,-6.2,355.601,-5.981,355.118,-6.066,354.951,-5.559,353.299,-5.364,354.504,-6.361,5139.2
333.968,-7.082,279.615,-5.939,279.003,-5.268,279.824,-5.925,279.308,-5.934,281.002,-7.311,280.526,-6.434,280.021,-6.093,279.589,-6.978,279.928,-6.065,385.491,-6.471,355.621,-6.067,355.164,-5.721,355.274,-6.155,354.319,-6.056,356.234,-7.043,355.499,-6.04,355.121,-5.955,354.407,-6.309,355.133,-6.33,659.606,-6.128,635.885,-5.737,634.118,-6.827,635.593,-6.359,634.77,-6.295,634.956,-5.669,635.326,-5.879,635.874,-6.129,632.997,-5.952,634.64,-7.245,385.444,-5.452,355.644,-5.937,354.499,-6.398,355.195,-6.519,354.923,-6.429,355.316,-6.147,355.214,-6.274,354.783,-5.806,353.179,-5.524,354.651,-6.211,5068.8
333.944,-6.914,279.602,-6.149,279.178,-5.4,279.563,-5.539,279.241,-5.864,280.778,-7.426,280.28,-6.549,280.104,-6.022,279.668,-6.43,279.887,-6.064,385.457,-6.299,355.568,-5.937,355.054,-5.543,354.904,-5.982,354.643,-5.804,356.519,-6.779,355.576,-6.091,355.042,-5.904,354.588,-6.276,354.945,-5.966,659.845,-6.097,635.409,-5.816,633.977,-6.765,635.495,-6.389,634.588,-6.451,635.001,-6.083,635.37,-6.293,636.13,-6.192,633.111,-6.096,634.331,-6.891,385.298,-5.574,355.744,-6.118,354.486,-6.682,355.21,-6.557,354.788,-6.26,355.305,-6.129,355.259,-6.21,354.673,-5.946,353.18,-5.249,354.861,-6.246,5209.6
333.997,-6.769,279.664,-6.048,278.999,-5.251,279.765,-5.628,279.411,-6.135,280.643,-7.288,280.425,-6.568,280.081,-5.962,279.797,-6.436,279.72,-5.972,385.534,-6.797,355.394,-6.174,354.951,-5.637,354.983,-5.924,354.553,-5.926,356.595,-6.857,355.534,-6.227,355.166,-5.734,354.412,-6.24,355.26,-5.986,659.941,-5.798,635.78,-5.941,634.195,-6.672,635.209,-6.352,634.592,-6.579,635.227,-6.11,635.433,-6.002,635.867,-6.202,632.841,-6.068,634.512,-6.934,385.261,-5.274,355.748,-5.733,354.391,-6.543,355.144,-6.574,354.985,-6.328,355.259,-5.783,355.033,-6.089,354.85,-5.624,353.309,-5.275,354.658,-6.315,5209.6
333.658,-6.921,279.529,-6.132,279.087,-5.086,279.857,-5.744,279.253,-5.927,280.652,-7.279,280.211,-6.597,280.121,-6.312,279.46,-6.704,279.608,-5.978,385.494,-6.557,355.42,-5.862,354.945,-5.646,355.018,-6.1,354.38,-6.013,356.394,-6.607,355.5,-6.244,354.693,-5.753,354.491,-6.225,354.927,-6.014,659.749,-5.702,635.423,-5.792,634.273,-6.525,635.584,-6.483,634.598,-6.638,635.218,-5.907,635.44,-6.103,635.83,-6.179,632.976,-6.054,634.422,-7.194,385.708,-5.54,355.749,-6.082,354.286,-6.555,354.896,-6.537,354.733,-6.326,355.353,-5.908,355.386,-5.966,355.167,-5.826,353.117,-5.275,354.704,-6.407,5301.12
