x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,y
333.855,-6.859,279.434,-5.998,278.979,-5.163,279.824,-5.873,279.244,-6.161,280.81,-7.277,280.722,-6.358,280.322,-6.096,279.492,-6.523,279.642,-6.229,385.374,-6.251,355.217,-5.893,355.005,-5.482,355.185,-5.926,354.826,-5.752,356.224,-6.829,355.78,-6.154,355.163,-5.826,354.564,-6.084,355.062,-5.949,659.615,-5.689,635.785,-5.664,634.171,-6.842,635.547,-6.595,634.69,-6.563,635.156,-6.016,635.078,-5.839,635.711,-6.123,632.973,-6.265,634.534,-7.154,385.526,-5.343,355.603,-5.968,354.411,-6.459,355.192,-6.591,354.791,-6.471,355.601,-5.82,355.047,-6.254,355.209,-5.773,353.401,-5.683,354.751,-6.177,4998.4
333.951,-6.782,279.273,-6.017,279.08,-5.333,279.543,-5.456,279.45,-5.976,280.797,-7.483,280.367,-6.31,280.246,-5.877,279.597,-6.642,279.839,-5.988,385.689,-6.447,355.463,-6.142,355.228,-5.426,354.87,-6.115,354.529,-5.69,356.438,-6.779,355.924,-6.398,354.89,-5.577,354.519,-6.19,355.157,-6.123,659.835,-6.085,635.76,-5.691,634.106,-6.643,635.672,-6.491,634.671,-6.531,635.26,-5.945,635.303,-6.271,635.871,-6.298,632.855,-6.021,634.618,-7.235,385.418,-5.12,355.479,-5.957,354.418,-6.407,355.332,-6.461,354.798,-6.403,355.423,-6.168,355.01,-6.069,355.003,-5.825,353.146,-5.599,354.789,-6.181,4963.2
333.967,-7.154,279.763,-5.957,279.301,-5.398,279.919,-5.755,279.323,-5.877,280.791,-7.232,280.392,-6.316,280.247,-6.043,279.339,-6.846,279.632,-6.321,385.901,-6.629,355.31,-5.885,355.2,-5.569,355.033,-6.078,354.714,-5.934,356.515,-6.826,355.971,-6.157,354.845,-5.853,354.322,-6.204,355.161,-6.081,659.61,-5.923,635.836,-5.861,633.837,-6.679,635.303,-6.754,634.664,-6.536,635.21,-6.18,635.087,-6.174,635.685,-6.443,632.931,-6.152,634.363,-7.331,385.358,-5.685,355.666,-5.932,354.412,-6.686,355.142,-6.607,354.524,-6.489,355.597,-6.052,355.336,-6.14,355.132,-5.851,353.272,-5.208,354.791,-6.266,5054.72
333.756,-7.013,279.533,-5.995,278.832,-5.206,279.822,-5.814,279.345,-5.865,281.07,-7.514,280.256,-6.524,280.145,-6.1,279.692,-6.492,279.722,-6.05,385.85,-6.612,355.522,-6.062,355.083,-5.548,355.058,-6.021,354.584,-5.999,356.272,-6.93,355.774,-6.168,355.09,-5.896,354.6,-6.176,355.376,-5.934,659.698,-5.445,635.842,-5.656,634.028,-6.75,635.467,-6.371,634.802,-6.802,635.119,-6.07,635.091,-5.956,635.909,-6.502,632.906,-6.326,634.65,-7.084,385.547,-5.427,355.853,-5.811,354.42,-6.418,355.172,-6.457,354.572,-6.486,355.495,-5.934,355.535,-6.078,355.258,-5.905,353.518,-5.253,354.708,-6.517,5096.96
333.945,-6.838,279.593,-6.156,278.8,-5.212,280.032,-5.71,279.346,-6.118,281.163,-7.458,280.38,-6.369,280.14,-6.162,279.586,-6.802,279.839,-6.327,385.568,-6.682,355.373,-6.035,355.234,-5.64,355.001,-6.243,354.551,-5.982,356.435,-7.007,355.65,-6.084,354.91,-5.845,354.438,-6.12,355.283,-5.725,659.795,-5.889,635.647,-5.736,634.031,-6.682,635.594,-6.518,634.295,-6.806,634.792,-5.963,635.251,-6.508,636.067,-6.38,633.045,-5.985,634.452,-6.947,385.29,-5.607,355.677,-5.907,354.204,-6.525,355.274,-6.653,354.691,-6.49,355.644,-6.244,355.247,-6.058,355.053,-5.851,353.255,-5.335,354.913,-6.404,5061.76
333.641,-7.016,279.737,-6.287,279.188,-5.145,279.796,-5.737,279.435,-6.132,281.225,-7.119,280.559,-6.465,280.12,-6.112,279.739,-6.69,279.878,-6.117,385.867,-6.311,355.649,-6.041,354.745,-5.382,354.956,-5.992,354.575,-5.795,356.126,-6.964,355.675,-6.055,355.13,-5.958,354.473,-6.184,355.046,-5.942,659.809,-5.828,635.95,-5.833,634.158,-6.716,635.407,-6.317,634.686,-6.57,635.198,-6.013,635.229,-6.077,635.785,-6.497,632.93,-6.27,634.409,-7.292,385.339,-5.249,355.769,-5.922,354.304,-6.717,355.248,-6.402,354.625,-6.665,355.476,-5.991,355.415,-6.34,355.088,-5.607,353.361,-5.453,354.639,-6.202,5111.04
334.008,-6.908,279.322,-6.207,278.908,-5.341,279.776,-5.668,279.225,-5.933,280.782,-7.469,280.635,-6.442,280.059,-6.068,279.482,-6.486,279.699,-6.194,385.355,-6.278,355.603,-5.963,354.921,-5.396,355.136,-5.968,354.756,-5.993,356.242,-6.809,355.65,-6.301,354.973,-5.772,354.613,-6.078,355.266,-6.15,659.687,-5.978,635.901,-5.848,634.222,-6.595,635.28,-6.447,634.386,-6.602,635.09,-5.834,635.3,-6.224,635.661,-6.239,633.061,-6.022,634.204,-7.342,385.406,-5.257,355.696,-6.11,354.502,-6.623,355.097,-6.546,354.615,-6.46,355.378,-5.781,355.262,-6.05,355.102,-5.768,353.153,-5.227,354.622,-6.437,5019.52
333.585,-6.927,279.786,-6.141,279.249,-5.134,279.936,-5.384,279.705,-6.015,280.675,-7.295,280.336,-6.455,280.134,-6.092,279.598,-6.828,279.726,-6.364,385.946,-6.278,355.673,-5.608,355.098,-5.494,354.924,-6.265,354.484,-5.948,356.423,-6.609,355.819,-5.999,355.014,-5.715,354.263,-6.007,355.018,-6.174,659.574,-5.549,635.824,-5.761,633.955,-6.665,635.669,-6.472,634.697,-6.552,634.857,-5.921,635.502,-6.285,636.059,-6.376,633.071,-6.058,634.398,-6.99,385.267,-5.605,355.726,-6.051,354.227,-6.275,355.05,-6.791,354.344,-6.538,355.486,-5.923,355.122,-5.8,355.064,-6.038,353.44,-5.416,354.965,-6.25,4885.76
333.973,-7.107,279.614,-5.83,279.084,-5.067,279.792,-5.671,279.29,-5.98,281.01,-7.33,280.423,-6.273,280.256,-6.334,279.389,-6.815,279.674,-6.044,385.814,-6.311,355.504,-5.821,354.924,-5.462,354.874,-5.92,354.698,-5.845,356.457,-6.947,355.842,-5.931,354.859,-5.84,354.414,-6.084,355.198,-6.042,659.943,-6.035,635.67,-5.68,634.103,-6.575,635.576,-6.543,634.662,-6.901,635.277,-6.054,635.043,-6.249,635.829,-6.211,633.011,-6.211,634.733,-7.144,385.414,-5.47,355.707,-6.016,354.453,-6.342,355.089,-6.707,354.633,-6.428,355.455,-5.96,355.53,-6.068,355.252,-5.795,353.483,-5.403,354.685,-6.251,4949.12
